ID	PCR_type	guide	file
E2286_ID22_RPEPro_LBR2_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID22_RPEPro_LBR2_R3_T1.fastq.gz
E2286_ID22_RPEPro_LBR2_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID22_RPEPro_LBR2_R3_T2.fastq.gz
E2286_ID23_RPEPro_ATMi_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID23_RPEPro_ATMi_R3_T1.fastq.gz
E2286_ID23_RPEPro_ATMi_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID23_RPEPro_ATMi_R3_T2.fastq.gz
E2286_ID24_RPEPro_DNAPKi_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID24_RPEPro_DNAPKi_R3_T1.fastq.gz
E2286_ID24_RPEPro_DNAPKi_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID24_RPEPro_DNAPKi_R3_T2.fastq.gz
E2286_ID25_RPEDef_tracr_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID25_RPEDef_tracr_R1_T1.fastq.gz
E2286_ID25_RPEDef_tracr_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID25_RPEDef_tracr_R1_T2.fastq.gz
E2286_ID26_RPEDef_LBR2_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID26_RPEDef_LBR2_R1_T1.fastq.gz
E2286_ID26_RPEDef_LBR2_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID26_RPEDef_LBR2_R1_T2.fastq.gz
E2286_ID27_RPEDef_ATMi_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID27_RPEDef_ATMi_R1_T1.fastq.gz
