"sample" "driver_mut" "count"
"79" "39520be3-a2af-4189-acf4-9d239363333a" "EGFR" 345
"80" "3a81f733-b3a3-4578-b925-a663612bc92c" "ATRX" 211
"81" "3ad44032-01fb-4f84-b880-f01bb13a4359" "ATM" 70
"82" "3ad44032-01fb-4f84-b880-f01bb13a4359" "FANCF" 70
"83" "3ad44032-01fb-4f84-b880-f01bb13a4359" "MEN1" 70
"84" "3b20d548-2a7d-4031-85a1-425ca7201d7a" "TRRAP" 4635
"85" "3b7810f7-f8ff-4d62-b766-3ba06170194c" "ATM" 14705
"86" "3bb25b72-ceb1-4169-891e-339f22cb0f03" "MEN1" 230
"87" "3c963890-6e79-4b16-a4aa-bac04938b4d7" "ATRX" 243
"88" "3d400522-c623-11e3-bf01-24c6515278c0" "SETD2" 569
"89" "3e604a1c-b95f-44ff-9723-e2fac845da3b" "CTR" 2612
"90" "418a3dec-96ff-4719-becb-e1a8260cce2f" "EGFR" 1719
"91" "41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f" "EGFR" 352
"92" "41de507a-c623-11e3-bf01-24c6515278c0" "CHEK2" 396
"93" "42de1441-6f3c-4b4d-b8b8-ad91e4b1dbe2" "ATM" 73491
"94" "448fe471-3f4e-4dc8-a4e0-6f147dc93abe" "EGFR" 415
"95" "45e16b70-c3ec-493e-86d1-505ffdf5056c" "BRCA2" 1538
"96" "46f19b5c-3eba-4b23-a1ab-9748090ca4e5" "BRCA2" 898
"97" "47874ff4-0b1c-4a31-9192-2a10e93ce9a1" "BLM" 1990
"98" "4808f9e1-452d-45eb-9b87-2f87c67d3452" "SETD2" 201
"99" "48b15122-b1e9-4c30-8fc5-70a07686779a" "MEN1" 139
"100" "49ad3c8d-88cd-43cd-a273-1623fe2aec0b" "SETD2" 668
"101" "4a1ad661-f6ae-44e8-b50b-72ff658ff22b" "EGFR" 145
"102" "4b5d9d8c-ff95-45f4-9287-2804e8a98ade" "ATRX" 231
"103" "4b5d9d8c-ff95-45f4-9287-2804e8a98ade" "MEN1" 231
"104" "4b8c6b0c-0d0c-4834-a2f3-691e0919b902" "ATM" 95
"105" "4c2ad4a0-5d57-4e27-9f35-058b2f205f50" "BRCA2" 2835
"106" "4c59fb2d-21b6-4b09-8174-6102de736e4d" "ATRX" 549
"107" "4d7f2c74-862b-4aad-98e1-fa831f14a905" "ATRX" 134
"108" "4e8396f7-9506-4401-96b6-bb2e89557d59" "MEN1" 590
"109" "4ed52e0c-c623-11e3-bf01-24c6515278c0" "ATRX" 159
"110" "5046f1b4-9d95-4841-ba30-691fa44719a2" "CTR" 773
"111" "50f4d836-79a9-4bc7-a63a-7aa29e41d418" "SETD2" 111
"112" "5174f450-0bf7-4237-a53e-844064f0e701" "ATM" 105
"113" "5187e77d-f412-4303-8049-11d1aa1a0235" "BRCA2" 1319
"114" "53d32d8b-5649-42b0-8c52-2c39af2a961b" "ATM" 695
"115" "53dec97d-0464-4ffd-8e2e-95b2b9a03af0" "EGFR" 502
"116" "54842328-9432-4820-8976-7964bf9bf147" "SETD2" 775
"117" "54e78de0-d357-4125-a904-ab35e461572b" "CTR" 455
"118" "559c30f2-8ae7-43c8-819c-800261065e06" "MEN1" 185
"119" "559c30f2-8ae7-43c8-819c-800261065e06" "SETD2" 185
"120" "56425c2e-6bbf-4b20-ba07-79a526dd4603" "MEN1" 35
"121" "569393c8-e2fe-4580-a45b-81f1b1e01135" "SETD2" 1914
"122" "56ffaa35-814c-4c0b-b3c6-d4514d34fec2" "ATRX" 1555
"123" "5702affd-eafe-42a4-8f56-c1f22f8f184d" "MEN1" 139
"124" "571ce258-b453-4cac-b05e-05755791be84" "ATM" 99
"125" "576a1741-8c65-40da-9f0f-b2ca805d70f3" "MEN1" 2016
"126" "5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c" "SETD2" 289
"127" "5a7f3c88-ef02-4e97-8009-5622245b6a09" "SETD2" 104
"128" "5b560f4c-d2a3-43fa-b394-abef78bdefc1" "ATM" 361
"129" "5c156f63-6537-4d93-a6c2-4155618cf638" "ATM" 848
"130" "5d6ad982-bb01-4233-b8fa-d129460eec79" "ATM" 1577
"131" "5f13e9b8-6c8e-4fd7-aef1-da4e5d5e2a5e" "MEN1" 163
"132" "5f94cb62-4019-47ff-bf6a-eeda8e9e033c" "ATM" 739
"133" "5f94cb62-4019-47ff-bf6a-eeda8e9e033c" "FANCM" 739
"134" "60525b38-c34b-479b-86d3-013c7e567b8f" "EGFR" 3370
"135" "616ff577-c5c3-432e-a857-f29901de119c" "ATM" 132
"136" "631ab9d0-5400-400c-b0bc-c3e576bcfe06" "ATM" 448
"137" "63a907ff-1042-4f9c-a385-55a32b3e103b" "ATRX" 87
"138" "65723119-bdfe-46f0-b629-c171023abd71" "EGFR" 318
"139" "66b4a1f3-480f-4050-96ac-920c1c080864" "ATM" 102
