"driver_mut" "ProjectName" "sample" "CLASS" "indel_n"
"57" "ATM" "PAEN-AU" "dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa" "cNHEJ" 5
"58" "ATM" "PAEN-AU" "dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa" "MMEJ" 14
"59" "ATM" "PRAD-CA" "5d6ad982-bb01-4233-b8fa-d129460eec79" "cNHEJ" 6
"60" "ATM" "PRAD-CA" "5d6ad982-bb01-4233-b8fa-d129460eec79" "MMEJ" 15
"61" "ATM" "PRAD-CA" "7181dd10-1371-4cb6-9219-a9542c62b854" "cNHEJ" 9
"62" "ATM" "PRAD-CA" "7181dd10-1371-4cb6-9219-a9542c62b854" "MMEJ" 8
"63" "ATM" "PRAD-CA" "a6045753-60bb-4e65-bc89-1ef0b47aab35" "cNHEJ" 3
"64" "ATM" "PRAD-CA" "a6045753-60bb-4e65-bc89-1ef0b47aab35" "MMEJ" 19
"65" "ATM" "PRAD-CA" "b41c63e8-bb85-4f83-9bc6-e611fd9ef075" "cNHEJ" 8
"66" "ATM" "PRAD-CA" "b41c63e8-bb85-4f83-9bc6-e611fd9ef075" "MMEJ" 24
"67" "ATM" "RECA-EU" "3b7810f7-f8ff-4d62-b766-3ba06170194c" "cNHEJ" 46
"68" "ATM" "RECA-EU" "3b7810f7-f8ff-4d62-b766-3ba06170194c" "MMEJ" 64
"69" "ATM" "RECA-EU" "5c156f63-6537-4d93-a6c2-4155618cf638" "cNHEJ" 33
"70" "ATM" "RECA-EU" "5c156f63-6537-4d93-a6c2-4155618cf638" "MMEJ" 32
"71" "ATM" "RECA-EU" "a2034620-e4b5-4d4f-ac05-7fc1c098eb40" "cNHEJ" 38
"72" "ATM" "RECA-EU" "a2034620-e4b5-4d4f-ac05-7fc1c098eb40" "MMEJ" 53
"73" "ATM" "RECA-EU" "c298ec82-8305-4c89-898f-268308f782b2" "cNHEJ" 39
"74" "ATM" "RECA-EU" "c298ec82-8305-4c89-898f-268308f782b2" "MMEJ" 38
"75" "ATM" "RECA-EU" "cbb788dd-964b-4cfd-80e1-979c7b5b3c52" "cNHEJ" 34
"76" "ATM" "RECA-EU" "cbb788dd-964b-4cfd-80e1-979c7b5b3c52" "MMEJ" 34
"77" "ATRX" "GBM-US" "04339769-517c-448d-a7ca-951f83608c60" "MMEJ" 5
"78" "ATRX" "GBM-US" "4d7f2c74-862b-4aad-98e1-fa831f14a905" "cNHEJ" 1
"79" "ATRX" "GBM-US" "4d7f2c74-862b-4aad-98e1-fa831f14a905" "MMEJ" 11
"80" "ATRX" "GBM-US" "56ffaa35-814c-4c0b-b3c6-d4514d34fec2" "cNHEJ" 13
"81" "ATRX" "GBM-US" "56ffaa35-814c-4c0b-b3c6-d4514d34fec2" "MMEJ" 45
"82" "ATRX" "GBM-US" "b2d17671-d2e1-4c97-8b01-a976d5abe1d6" "cNHEJ" 77
